PAPEL;SEGMENTO;COTACAO;FFO_YIELD;DIVIDEND_YIELD;P_VP;VALOR_DE_MERCADO;LIQUIDEZ;QTD_DE_IMOVEIS;PRECO_DO_M2;ALUGUEL_POR_M2;CAP_RATE;VACANCIA_MEDIA
HTMX11;Hotel;158.0;0.024;0.1567;1.16;456319000.0;1521630.0;21;5012.56;467.99;0.0934;0.0
HUCG11;Logística;102.67;0.0019;0.0;1.0;115196000.0;2047.0;2;3975.03;0.0;0.0;0.0
HUSC11;Outros;91.01;0.1207;0.11449999999999999;0.6;77433200.0;6712.0;1;1040.33;153.42;0.1475;0.0
HUSI11;Hospital;1230.0;0.0819;0.0793;0.99;143125000.0;30.0;1;7005.87;619.16;0.08839999999999999;0.0
IAAG11;Títulos e Val. Mob.;7.71;0.1014;0.1527;0.8;80601700.0;130775.0;0;0.0;0.0;0.0;0.0
IAGR11;Outros;3.2;0.0067;0.0711;0.5;8953410.0;14927.0;0;0.0;0.0;0.0;0.0
IBCR11;Títulos e Val. Mob.;55.43;0.1261;0.1821;0.62;53125400.0;110556.0;0;0.0;0.0;0.0;0.0
IBFF11;Títulos e Val. Mob.;66.4;0.0828;0.0;0.93;44267600.0;0.0;0;0.0;0.0;0.0;0.0
ICRI11;Títulos e Val. Mob.;81.79;0.0876;0.1389;0.83;315493000.0;1444780.0;0;0.0;0.0;0.0;0.0
IDFI11;Títulos e Val. Mob.;2.0;0.1641;4.5426;0.46;4115850.0;0.0;2;0.0;0.0;0.0;0.0
IDGR11;Híbrido;1.5;0.1023;4.7277;16.7;1325040.0;445.0;1;0.0;0.0;0.0;0.0
IFID11;Títulos e Val. Mob.;80.06;0.12990000000000002;0.0;1.2;59897000.0;0.0;0;0.0;0.0;0.0;0.0
IFIE11;Títulos e Val. Mob.;71.98;0.1537;0.0;1.0;64817600.0;0.0;0;0.0;0.0;0.0;0.0
INLG11;Logística;67.39;0.13849999999999998;0.047;0.67;304071000.0;313332.0;5;2510.32;375.13;0.1494;0.0084
INRD11;Residencial;65.73;0.1533;0.036000000000000004;0.56;74321300.0;192999.0;5;2828.06;608.7;0.2152;0.051699999999999996
IRDM11;Títulos e Val. Mob.;62.11;0.15109999999999998;0.1481;0.77;2262910000.0;3272500.0;0;0.0;0.0;0.0;0.0
IRIM11;Híbrido;62.37;0.1605;0.158;0.75;119750000.0;120483.0;0;0.0;0.0;0.0;0.0
ISCJ11;Títulos e Val. Mob.;99.18;0.0518;0.0362;0.72;31139500.0;5.0;0;0.0;0.0;0.0;0.0
ITIP11;Títulos e Val. Mob.;66.97;0.1553;0.1225;1.0;50103700.0;62183.0;0;0.0;0.0;0.0;0.0
ITIT11;Títulos e Val. Mob.;65.15;0.1698;0.11220000000000001;0.9;58667200.0;83088.0;0;0.0;0.0;0.0;0.0
ITRI11;Híbrido;68.0;0.0708;0.1024;0.78;425000000.0;1993130.0;0;0.0;0.0;0.0;0.0
JASC11;Híbrido;100.19;0.0665;0.0724;0.89;349597000.0;147812.0;16;3436.27;304.15;0.0885;0.0
JBFO11;Títulos e Val. Mob.;82.01;0.0902;0.0199;1.04;104897000.0;0.0;0;0.0;0.0;0.0;0.0
JCCJ11;Títulos e Val. Mob.;158.0;0.0319;0.0331;0.89;263624000.0;2901740.0;0;0.0;0.0;0.0;0.0
JCIN11;Títulos e Val. Mob.;150.0;0.0462;0.028399999999999998;1.01;197658000.0;7234840.0;0;0.0;0.0;0.0;0.0
JFLL11;Residencial;72.5;0.1436;0.1001;0.67;108793000.0;287048.0;2;7386.16;1276.89;0.1729;0.09
JGPX11;Híbrido;52.24;0.2434;0.2229;0.57;111859000.0;312020.0;0;0.0;0.0;0.0;0.0
JPPA11;Híbrido;75.43;0.16649999999999998;0.16269999999999998;0.79;68192500.0;116776.0;0;0.0;0.0;0.0;0.0
